ratio_id,ratio_name,category,priority,n_total,n_valid,n_missing,missing_rate,n_zero_denom,zero_denom_rate,n_neg_denom,n_inf,inf_rate,p1,median,p99,min,max,std,same_value_rate,outlier_flag,nan_breakdown,quality_pass,fail_reasons,duplicate_alias_of,duplicate_alias_type,duplicate_alias_reason,stage3_exclude,selected_eligible
R023,총포괄이익/자기자본,수익성,확장,4924,4316,608,0.1235,0,0.0,21,0,0.0,-1.4992,0.045,0.5817,-154.6229,31.6755,2.7735,0.0023,False,neg_denom=21|data_missing=587,True,,,,,False,True
R031,현금이익전환율,수익성,확장,4924,4400,524,0.1064,0,0.0,1268,0,0.0,-24.609,0.8548,23.0474,-1163.9645,181.8967,20.9114,0.0002,False,neg_denom=1268,True,,,,,False,True
R032,영업현금흐름/영업이익,수익성,확장,4924,4400,524,0.1064,0,0.0,1029,0,0.0,-18.3588,0.9401,26.6392,-1729.844,278.9864,36.9924,0.0002,False,neg_denom=1029,True,,,,,False,True
R033,EBITDA 대비 OCF,수익성,확장,4924,4399,525,0.1066,1,0.0002,943,0,0.0,-18.6914,0.8999,14.9856,-1962.4712,429.4628,31.5395,0.0002,False,zero_denom=1|neg_denom=943,True,,,,,False,True
R043,부채비율,안정성,핵심,4924,4400,524,0.1064,0,0.0,28,0,0.0,0.015,0.6256,7.9919,-495.04,257.2976,9.6144,0.0002,False,neg_denom=28|data_missing=496,True,,,,,False,True
R044,총부채/총자산,안정성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0319,0.3891,0.9493,0.0012,6.3221,0.2408,0.0002,False,data_missing=524,True,,,,,False,True
R045,자기자본비율,안정성,핵심,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0507,0.6109,0.9681,-5.3221,0.9988,0.2408,0.0002,False,data_missing=524,True,,,,,False,True
R046,차입금의존도,안정성,핵심,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0,0.1348,0.6139,0.0,2.5254,0.1683,0.1841,False,data_missing=524,True,,,,,False,True
R047,순차입금의존도,안정성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,-0.4446,0.05,0.5761,-0.7965,2.5251,0.2205,0.0002,False,data_missing=524,True,,,,,False,True
R048,유이자부채/총자산,안정성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0,0.1099,0.5268,0.0,1.6639,0.1424,0.2209,False,data_missing=524,True,,,,,False,True
R049,금융부채/총부채,안정성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0,0.3055,0.8659,0.0,1.1626,0.258,0.2209,False,data_missing=524,True,,,,,False,True
R050,총차입금/자기자본,안정성,확장,4924,4400,524,0.1064,0,0.0,28,0,0.0,0.0,0.2128,3.9426,-322.031,144.9356,5.8457,0.1841,False,neg_denom=28|data_missing=496,True,,,,,False,True
R051,순차입금/자기자본,안정성,확장,4924,4400,524,0.1064,0,0.0,28,0,0.0,-0.8218,0.0745,3.5322,-311.4988,136.8471,5.608,0.0002,False,neg_denom=28|data_missing=496,True,,,,,False,True
R052,유이자부채/자기자본,안정성,확장,4924,4400,524,0.1064,0,0.0,28,0,0.0,0.0,0.1737,3.2334,-318.393,105.1348,5.4923,0.2209,False,neg_denom=28|data_missing=496,True,,,,,False,True
R053,유동부채비율,안정성,확장,4924,4400,524,0.1064,0,0.0,28,0,0.0,0.005,0.4383,5.5162,-213.9163,177.0008,5.4732,0.0002,False,neg_denom=28|data_missing=496,True,,,,,False,True
R054,비유동부채비율,안정성,확장,4924,4400,524,0.1064,0,0.0,28,0,0.0,0.0,0.1059,2.7564,-281.1237,80.2968,4.6406,0.0061,False,neg_denom=28|data_missing=496,True,,,,,False,True
R055,유동부채/총부채,안정성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.2089,0.8075,0.999,0.0003,1.0648,0.1914,0.0061,False,data_missing=524,True,,,,,False,True
R056,비유동부채/총부채,안정성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.001,0.1922,0.7844,-0.0648,0.9997,0.1907,0.0061,False,data_missing=524,True,,,,,False,True
R057,단기차입금비중,안정성,확장,4924,3590,1334,0.2709,1334,0.2709,0,0,0.0,0.0,0.5202,1.0,0.0,1.0,0.3624,0.1691,False,zero_denom=1334,False,zero_denom_high=27.1%,,,,False,False
R058,장기차입금비중,안정성,확장,4924,3590,1334,0.2709,1334,0.2709,0,0,0.0,0.0,0.0957,1.0,0.0,1.0,0.268,0.3423,False,zero_denom=1334,False,zero_denom_high=27.1%,,,,False,False
R059,단기금융부채/총자산,안정성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0,0.0777,0.4694,0.0,2.5254,0.1274,0.2152,False,data_missing=524,True,,,,,False,True
R060,장기금융부채/총자산,안정성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0,0.0129,0.3901,0.0,0.8722,0.0903,0.4134,False,data_missing=524,True,,,,,False,True
R061,순차입금/총차입금,안정성,확장,4924,3590,1334,0.2709,1334,0.2709,0,0,0.0,-338.5196,0.6544,0.9986,-40225.543,1.0,1149.0549,0.0003,False,zero_denom=1334,False,zero_denom_high=27.1%,,,,False,False
R063,유보율,안정성,핵심,4924,4400,524,0.1064,0,0.0,0,0,0.0,-9.9073,4.5549,96.6883,-68.3569,398.6864,23.1577,0.0002,False,data_missing=524,True,,,,,False,True
R064,이익잉여금/총자산,안정성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,-1.8083,0.2772,0.9708,-46.3839,6.0568,0.9457,0.0002,False,data_missing=524,True,,,,,False,True
R065,이익잉여금/자기자본,안정성,확장,4924,4400,524,0.1064,0,0.0,28,0,0.0,-5.105,0.5098,1.6454,-299.6784,187.9277,6.4251,0.0002,False,neg_denom=28|data_missing=496,True,,,,,False,True
R067,자본금/총자산,안정성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0057,0.0615,0.6755,0.0015,7.9645,0.1824,0.0002,False,data_missing=524,True,,,,,False,True
R071,비유동비율,안정성,확장,4924,4400,524,0.1064,0,0.0,28,0,0.0,0.0814,0.8616,5.2664,-281.6638,139.8983,5.6102,0.0002,False,neg_denom=28|data_missing=496,True,,,,,False,True
R076,순운전자본/총자산,안정성,핵심,4924,4400,524,0.1064,0,0.0,0,0,0.0,-0.4446,0.1715,0.7567,-6.0339,1.0,0.2736,0.0002,False,data_missing=524,True,,,,,False,True
R077,운전자본/매출액,안정성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,-1.761,0.2089,4.1151,-529.3597,135.6611,8.8009,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R079,이자보상배율,부채상환능력,핵심,4924,4316,608,0.1235,84,0.0171,1,0,0.0,-39.642,2.0089,1319.0232,-59867.95,1714863.0,26504.519,0.0002,True,zero_denom=84|neg_denom=1|data_missing=523,True,,,,,False,True
R080,EBIT 이자보상배율,부채상환능력,확장,4924,4316,608,0.1235,84,0.0171,1,0,0.0,-39.642,2.0089,1319.0232,-59867.95,1714863.0,26504.519,0.0002,True,zero_denom=84|neg_denom=1|data_missing=523,True,,R079,exact_value_alias,EBIT 이자보상배율 is identical to 이자보상배율 under the current EBIT mapping.,True,False
R081,EBITDA 이자보상배율,부채상환능력,핵심,4924,4316,608,0.1235,84,0.0171,1,0,0.0,-37.9796,2.5374,1370.2557,-54853.7,2248771.0,34547.7228,0.0002,True,zero_denom=84|neg_denom=1|data_missing=523,True,,,,,False,True
R082,세전이익 이자보상배율,부채상환능력,확장,4924,4316,608,0.1235,84,0.0171,1,0,0.0,-44.641,2.1278,2021.6558,-45144.825,1012680.0,16592.0654,0.0002,True,zero_denom=84|neg_denom=1|data_missing=523,True,,,,,False,True
R083,OCF 이자보상배율,부채상환능력,확장,4924,4316,608,0.1235,84,0.0171,1,0,0.0,-77.2181,2.548,1303.098,-737754.0,1308659.5,23140.4074,0.0002,True,zero_denom=84|neg_denom=1|data_missing=523,True,,,,,False,True
R085,금융비용부담률,부채상환능력,핵심,4924,4398,526,0.1068,2,0.0004,49,0,0.0,0.0,0.0174,0.9855,-0.0239,22.4112,0.5719,0.0189,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R086,이자비용/매출액,부채상환능력,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,0.0,0.0174,0.9855,-0.0239,22.4112,0.5719,0.0189,False,zero_denom=2|neg_denom=49|data_missing=475,True,,R085,exact_value_alias,이자비용/매출액 uses the same numerator item code as 금융비용부담률; not an independent ratio in the current source mapping.,True,False
R087,이자비용/영업이익,부채상환능력,확장,4924,4400,524,0.1064,0,0.0,1029,0,0.0,-7.1794,0.1253,13.6611,-9160.6763,759.7207,138.7418,0.0191,True,neg_denom=1029,True,,,,,False,True
R088,이자비용/EBITDA,부채상환능력,확장,4924,4399,525,0.1066,1,0.0002,943,0,0.0,-8.7295,0.1229,10.7049,-298.4815,613.0825,13.2098,0.0189,False,zero_denom=1|neg_denom=943,True,,R089,exact_value_alias,이자비용/EBITDA uses the same numerator item code as 금융비용/EBITDA; keep the semantically accurate financial-cost ratio.,True,False
R089,금융비용/EBITDA,부채상환능력,확장,4924,4399,525,0.1066,1,0.0002,943,0,0.0,-8.7295,0.1229,10.7049,-298.4815,613.0825,13.2098,0.0189,False,zero_denom=1|neg_denom=943,True,,,,,False,True
R090,금융비용/영업현금흐름,부채상환능력,확장,4924,4400,524,0.1064,0,0.0,1223,0,0.0,-13.5223,0.0725,11.27,-21760.9218,4116.2055,334.1581,0.0191,True,neg_denom=1223,True,,,,,False,True
R091,OCF/총부채,부채상환능력,핵심,4924,4400,524,0.1064,0,0.0,0,0,0.0,-0.9079,0.1107,2.0031,-7.4403,29.497,0.7524,0.0002,False,data_missing=524,True,,,,,False,True
R092,OCF/총차입금,부채상환능력,확장,4924,3590,1334,0.2709,1334,0.2709,0,0,0.0,-11.3352,0.1876,165.0195,-805.7929,62278.8719,1261.9252,0.0003,True,zero_denom=1334,False,zero_denom_high=27.1%,,,,False,False
R093,OCF/순차입금,부채상환능력,확장,4924,4400,524,0.1064,524,0.1064,1862,0,0.0,-19.9032,-0.0309,13.1882,-1062.6922,1734.7777,34.3438,0.0002,True,zero_denom=524|neg_denom=1862,False,zero_denom_high=10.6%,,,,False,False
R094,OCF/유동부채,부채상환능력,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,-1.2435,0.1504,3.0188,-24.4832,49.0817,1.3628,0.0002,False,data_missing=524,True,,,,,False,True
R095,OCF/단기차입금,부채상환능력,확장,4924,3051,1873,0.3804,1349,0.274,0,0,0.0,-9.9033,0.3099,207.7894,-4333.6269,10809.435,346.6723,0.0003,True,zero_denom=1349|data_missing=524,False,high_missing=38.0%|zero_denom_high=27.4%,,,,False,False
R099,EBITDA/총차입금,부채상환능력,확장,4924,3590,1334,0.2709,1334,0.2709,0,0,0.0,-6.375,0.1733,133.5212,-3409.555,51417.182,1043.5912,0.0003,True,zero_denom=1334,False,zero_denom_high=27.1%,,,,False,False
R100,EBITDA/순차입금,부채상환능력,확장,4924,4400,524,0.1064,524,0.1064,1862,0,0.0,-17.7135,0.0087,11.5274,-943.4368,1191.892,29.9044,0.0002,True,zero_denom=524|neg_denom=1862,False,zero_denom_high=10.6%,,,,False,False
R101,총차입금/EBITDA,부채상환능력,확장,4924,4399,525,0.1066,1,0.0002,943,0,0.0,-50.9073,0.7633,79.5246,-2458.8843,749.7434,55.1074,0.1839,True,zero_denom=1|neg_denom=943,True,,,,,False,True
R102,순차입금/EBITDA,부채상환능력,핵심,4924,4399,525,0.1066,1,0.0002,943,0,0.0,-57.6245,0.0485,78.0558,-2372.6204,876.4802,58.5766,0.0002,True,zero_denom=1|neg_denom=943,True,,,,,False,True
R103,총부채/EBITDA,부채상환능력,확장,4924,4399,525,0.1066,1,0.0002,943,0,0.0,-105.4253,4.8066,144.8278,-7748.2891,2132.3779,142.0224,0.0002,False,zero_denom=1|neg_denom=943,True,,,,,False,True
R104,순차입금/OCF,부채상환능력,확장,4924,4400,524,0.1064,0,0.0,1223,0,0.0,-107.4925,-0.1514,73.1985,-7647.1825,33348.619,557.7616,0.0002,True,neg_denom=1223,True,,,,,False,True
R105,총차입금/OCF,부채상환능력,확장,4924,4400,524,0.1064,0,0.0,1223,0,0.0,-109.5813,0.2722,85.325,-13262.5995,35048.1338,600.2283,0.1841,True,neg_denom=1223,True,,,,,False,True
R106,총부채/OCF,부채상환능력,확장,4924,4400,524,0.1064,0,0.0,1223,0,0.0,-186.5936,2.9521,171.4514,-18426.9695,46034.0001,830.7263,0.0002,False,neg_denom=1223,True,,,,,False,True
R107,단기차입금/OCF,부채상환능력,확장,4924,4400,524,0.1064,0,0.0,1223,0,0.0,-51.681,0.0,42.2183,-2079.5723,27280.2653,416.3331,0.3066,False,neg_denom=1223,True,,,,,False,True
R108,단기금융부채/EBITDA,부채상환능력,확장,4924,4399,525,0.1066,1,0.0002,943,0,0.0,-35.345,0.368,55.3767,-2319.9285,749.7434,46.0472,0.215,True,zero_denom=1|neg_denom=943,True,,,,,False,True
R109,단기금융부채/현금성자산,부채상환능력,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0,1.0051,377.6808,0.0,462316.3307,7151.8882,0.2152,True,data_missing=524,True,,,,,False,True
R110,현금성자산/총차입금,부채상환능력,확장,4924,3590,1334,0.2709,1334,0.2709,0,0,0.0,0.0014,0.3456,339.5196,0.0,40226.543,1149.0549,0.0003,True,zero_denom=1334,False,zero_denom_high=27.1%,,,,False,False
R111,현금성자산/단기차입금,부채상환능력,확장,4924,3051,1873,0.3804,1349,0.274,0,0,0.0,0.002,0.5996,399.6764,0.0,21581.79,694.0193,0.0003,True,zero_denom=1349|data_missing=524,False,high_missing=38.0%|zero_denom_high=27.4%,,,,False,False
R112,내부자금조달률,부채상환능력,확장,4924,4359,565,0.1147,41,0.0083,0,0,0.0,-200.4586,1.4939,439.9286,-11010.9716,38948.141,671.1449,0.0002,True,zero_denom=41|data_missing=524,True,,,,,False,True
R114,순차입금상환가능기간,부채상환능력,확장,4924,4399,525,0.1066,1,0.0002,943,0,0.0,-57.6245,0.0485,78.0558,-2372.6204,876.4802,58.5766,0.0002,True,zero_denom=1|neg_denom=943,True,,R102,exact_value_alias,순차입금상환가능기간 is identical to 순차입금/EBITDA.,True,False
R115,유동비율,유동성,핵심,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.2344,1.6165,19.4736,0.0102,20880.1952,314.7961,0.0002,False,data_missing=524,True,,,,,False,True
R116,당좌비율,유동성,핵심,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.1811,1.2721,18.4609,0.0102,20880.1952,314.7996,0.0002,False,data_missing=524,True,,,,,False,True
R117,현금비율,유동성,핵심,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0013,0.2631,7.1702,0.0,3750.3342,56.5862,0.0002,False,data_missing=524,True,,,,,False,True
R118,순운전자본비율,유동성,핵심,4924,4400,524,0.1064,0,0.0,0,0,0.0,-0.4446,0.1715,0.7567,-6.0339,1.0,0.2736,0.0002,False,data_missing=524,True,,R076,exact_value_alias,순운전자본비율 is identical to 순운전자본/총자산.,True,False
R119,순운전자본/매출액,유동성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,-1.761,0.2089,4.1151,-529.3597,135.6611,8.8009,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,R077,exact_value_alias,순운전자본/매출액 is identical to 운전자본/매출액.,True,False
R120,유동자산/총자산,유동성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0642,0.4677,0.9034,0.0017,1.0,0.1926,0.0002,False,data_missing=524,True,,,,,False,True
R121,유동부채/총자산,유동성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0185,0.2728,0.7891,0.0,6.3221,0.2093,0.0002,False,data_missing=524,True,,,,,False,True
R122,유동부채/매출액,유동성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,0.0735,0.34,3.9449,0.0131,621.1793,9.5631,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R123,유동자산/매출액,유동성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,0.1292,0.5933,5.7502,0.0238,138.866,4.3067,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R124,현금성자산/총자산,유동성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0005,0.067,0.484,0.0,0.8177,0.1025,0.0002,False,data_missing=524,True,,,,,False,True
R125,현금성자산/매출액,유동성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,0.0005,0.0928,2.3423,0.0,91.4338,2.293,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R126,현금성자산/총부채,유동성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0009,0.1919,4.7812,0.0,46.4267,1.4653,0.0002,False,data_missing=524,True,,,,,False,True
R127,현금성자산/유동부채,유동성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0013,0.2631,7.1702,0.0,3750.3342,56.5862,0.0002,False,data_missing=524,True,,R117,exact_value_alias,현금성자산/유동부채 is identical to 현금비율.,True,False
R128,현금성자산/단기금융부채,유동성,확장,4924,3453,1471,0.2987,1471,0.2987,0,0,0.0,0.0019,0.5308,524.4077,0.0,35451.2426,657.6727,0.0003,True,zero_denom=1471,False,zero_denom_high=29.9%,,,,False,False
R130,즉시가용유동성/단기금융부채,유동성,확장,4924,3453,1471,0.2987,1471,0.2987,0,0,0.0,0.0043,0.7333,897.267,0.0,176627.0554,3082.2135,0.0003,True,zero_denom=1471,False,zero_denom_high=29.9%,,,,False,False
R131,OCF/유동부채,유동성,핵심,4924,4400,524,0.1064,0,0.0,0,0,0.0,-1.2435,0.1504,3.0188,-24.4832,49.0817,1.3628,0.0002,False,data_missing=524,True,,R094,exact_value_alias,OCF/유동부채 duplicates the debt-service OCF/유동부채 ratio.,True,False
R132,OCF/단기금융부채,유동성,확장,4924,3453,1471,0.2987,1471,0.2987,0,0,0.0,-16.4919,0.2749,254.584,-805.7929,62278.8719,1069.9983,0.0003,True,zero_denom=1471,False,zero_denom_high=29.9%,,,,False,False
R133,FCF/유동부채,유동성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,-2.2305,0.0436,2.299,-134.4258,43.0249,2.4241,0.0002,False,data_missing=524,True,,,,,False,True
R134,재고자산/유동자산,유동성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0,0.1657,0.6466,0.0,0.8376,0.1653,0.0932,False,data_missing=524,True,,,,,False,True
R135,매출채권/유동자산,유동성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0179,0.3186,0.8779,0.0,0.9654,0.2111,0.0002,False,data_missing=524,True,,,,,False,True
R136,매입채무/유동부채,유동성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,0.0339,0.4316,0.9813,0.0,1.0,0.258,0.0014,False,data_missing=524,True,,,,,False,True
R137,재고자산/매출액,유동성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,0.0,0.0965,0.7689,0.0,3.9578,0.1832,0.0928,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R138,매출채권/매출액,유동성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,0.0171,0.1831,1.1787,0.0019,9.7705,0.2751,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R139,매입채무/매출액,유동성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,0.024,0.1356,1.2049,0.002,17.7761,0.441,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R140,순영업운전자본/매출액,유동성,확장,4924,4683,241,0.0489,2,0.0004,49,0,0.0,-0.4119,0.1412,1.009,-14.1897,6.2347,0.4144,0.0609,False,zero_denom=2|neg_denom=49|data_missing=190,True,,,,,False,True
R141,영업운전자본/총자산,유동성,확장,4924,4400,524,0.1064,0,0.0,0,0,0.0,-0.1946,0.1089,0.4895,-1.1607,0.8712,0.1406,0.0002,False,data_missing=524,True,,,,,False,True
R143,총자산회전율,활동성,핵심,4924,4316,608,0.1235,0,0.0,0,0,0.0,0.0372,0.7626,3.0365,0.0,10.3182,0.594,0.0002,False,data_missing=608,True,,,,,False,True
R145,비유동자산회전율,활동성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,0.0445,1.5268,12.7636,0.0,162.5394,3.9549,0.0002,False,data_missing=608,True,,,,,False,True
R146,유동자산회전율,활동성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,0.1673,1.6906,7.3356,0.0,16.8143,1.3997,0.0002,False,data_missing=608,True,,,,,False,True
R147,자기자본회전율,활동성,확장,4924,4316,608,0.1235,0,0.0,21,0,0.0,0.0268,1.2769,10.4208,-274.1358,389.1318,9.2259,0.0002,False,neg_denom=21|data_missing=587,True,,,,,False,True
R148,타인자본회전율,활동성,핵심,4924,4316,608,0.1235,0,0.0,0,0,0.0,0.1636,2.1217,10.4092,0.0,21.0811,2.1996,0.0002,False,data_missing=608,True,,,,,False,True
R150,운전자본회전율,활동성,확장,4924,4316,608,0.1235,0,0.0,991,0,0.0,-123.2553,2.2595,125.473,-69598.6754,4264.5096,1069.5486,0.0002,False,neg_denom=991,True,,,,,False,True
R152,재고자산회전율,활동성,핵심,4924,3956,968,0.1966,360,0.0731,0,0,0.0,0.0,7.1535,1122.6924,0.0,4194449.4085,66704.5268,0.0177,True,zero_denom=360|data_missing=608,False,zero_denom_high=7.3%,,,,False,False
R153,매출채권회전율,활동성,핵심,4924,4316,608,0.1235,0,0.0,0,0,0.0,0.7666,5.4567,47.7191,0.0,194.3363,9.9502,0.0002,False,data_missing=608,True,,,,,False,True
R154,매입채무회전율,활동성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,0.0,5.5387,25.9205,0.0,154.3634,5.7681,0.0484,False,data_missing=608,True,,,,,False,True
R155,순영업운전자본회전율,활동성,확장,4924,4400,524,0.1064,524,0.1064,548,0,0.0,-150.8633,4.8434,245.5021,-6768.9057,28843.8127,500.4701,0.0005,False,zero_denom=524|neg_denom=548,False,zero_denom_high=10.6%,,,,False,False
R156,현금성자산회전율,활동성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,0.3745,10.1506,848.2944,0.0,18575.5132,453.1948,0.0002,False,data_missing=608,True,,,,,False,True
R157,자본금회전율,활동성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,0.309,12.0761,167.9127,0.0,1148.2122,53.2345,0.0002,False,data_missing=608,True,,,,,False,True
