category,ratio_id,ratio_name,priority,missing_rate,median,p1_p99_range,outlier_flag,duplicate_alias_of,duplicate_alias_type,duplicate_alias_reason,stage3_exclude,selected_eligible,rank_in_category
부채상환능력,R107,단기차입금/OCF,확장,0.1064,0.0,"-51.681, 42.2183",False,,,,False,True,12
부채상환능력,R109,단기금융부채/현금성자산,확장,0.1064,1.0051,"0.0, 377.6808",True,,,,False,True,13
부채상환능력,R088,이자비용/EBITDA,확장,0.1066,0.1229,"-8.7295, 10.7049",False,R089,exact_value_alias,이자비용/EBITDA uses the same numerator item code as 금융비용/EBITDA; keep the semantically accurate financial-cost ratio.,True,False,14
부채상환능력,R089,금융비용/EBITDA,확장,0.1066,0.1229,"-8.7295, 10.7049",False,,,,False,True,15
부채상환능력,R101,총차입금/EBITDA,확장,0.1066,0.7633,"-50.9073, 79.5246",True,,,,False,True,16
부채상환능력,R103,총부채/EBITDA,확장,0.1066,4.8066,"-105.4253, 144.8278",False,,,,False,True,17
부채상환능력,R108,단기금융부채/EBITDA,확장,0.1066,0.368,"-35.345, 55.3767",True,,,,False,True,18
부채상환능력,R114,순차입금상환가능기간,확장,0.1066,0.0485,"-57.6245, 78.0558",True,R102,exact_value_alias,순차입금상환가능기간 is identical to 순차입금/EBITDA.,True,False,19
부채상환능력,R086,이자비용/매출액,확장,0.1068,0.0174,"0.0, 0.9855",False,R085,exact_value_alias,이자비용/매출액 uses the same numerator item code as 금융비용부담률; not an independent ratio in the current source mapping.,True,False,20
부채상환능력,R112,내부자금조달률,확장,0.1147,1.4939,"-200.4586, 439.9286",True,,,,False,True,21
부채상환능력,R080,EBIT 이자보상배율,확장,0.1235,2.0089,"-39.642, 1319.0232",True,R079,exact_value_alias,EBIT 이자보상배율 is identical to 이자보상배율 under the current EBIT mapping.,True,False,22
부채상환능력,R082,세전이익 이자보상배율,확장,0.1235,2.1278,"-44.641, 2021.6558",True,,,,False,True,23
부채상환능력,R083,OCF 이자보상배율,확장,0.1235,2.548,"-77.2181, 1303.098",True,,,,False,True,24
성장성,R169,매출액증가율,핵심,0.0768,0.0411,"-0.7084, 2.0429",False,,,,False,True,1
성장성,R180,총자산증가율,핵심,0.1235,0.05,"-0.4237, 1.3205",False,,,,False,True,2
성장성,R184,자기자본증가율,핵심,0.1271,0.053,"-0.7692, 2.2539",False,,,,False,True,3
성장성,R174,EBITDA증가율,핵심,0.2959,-0.0376,"-8.2858, 8.1745",True,,,,False,True,4
성장성,R204,투자부담률,확장,0.1068,0.0224,"0.0, 0.5708",False,,,,False,True,5
성장성,R181,유동자산증가율,확장,0.1235,0.0461,"-0.6688, 1.8954",False,,,,False,True,6
성장성,R182,비유동자산증가율,확장,0.1235,0.0466,"-0.5117, 2.2424",False,,,,False,True,7
성장성,R205,CAPEX/감가상각비,확장,0.1249,5.4614,"0.0063, 279.6578",False,,,,False,True,8
성장성,R188,CAPEX증가율,확장,0.1304,-0.0141,"-0.9897, 38.3423",True,,,,False,True,9
성장성,R170,매출총이익증가율,확장,0.1501,0.0446,"-1.7033, 7.0123",True,,,,False,True,10
성장성,R185,이익잉여금증가율,확장,0.2738,0.0695,"-4.2139, 4.246",False,R241,exact_value_alias,R185 and R241 are both 이익잉여금증가율 and value-identical in current Stage00_02 artifacts; keep R241 as current canonical selected growth variable.,True,False,11
수익성,R002,영업이익률,핵심,0.1068,0.0405,"-1.1582, 0.5111",False,,,,False,True,1
수익성,R005,EBITDA마진,핵심,0.1068,0.0486,"-1.1094, 0.5396",False,,,,False,True,2
수익성,R010,영업현금흐름마진,핵심,0.1068,0.054,"-1.0409, 0.5776",False,,,,False,True,3
수익성,R017,당기순이익/총자산(ROA),핵심,0.1235,0.0268,"-0.4965, 0.246",False,,,,False,True,4
수익성,R008,계속사업이익률,확장,0.0489,0.034,"-4.968, 1.4672",False,,,,False,True,5
수익성,R031,현금이익전환율,확장,0.1064,0.8548,"-24.609, 23.0474",False,,,,False,True,6
수익성,R032,영업현금흐름/영업이익,확장,0.1064,0.9401,"-18.3588, 26.6392",False,,,,False,True,7
수익성,R033,EBITDA 대비 OCF,확장,0.1066,0.8999,"-18.6914, 14.9856",False,,,,False,True,8
수익성,R001,매출총이익률,확장,0.1068,0.1711,"-0.1651, 1.0",False,,,,False,True,9
수익성,R003,정상영업이익률,확장,0.1068,0.0405,"-1.1582, 0.5111",False,R002,exact_value_alias,정상영업이익률 maps to the same executable formula as 영업이익률 in the current source mapping.,True,False,10
수익성,R004,EBIT마진,확장,0.1068,0.0405,"-1.1582, 0.5111",False,R002,exact_value_alias,EBIT마진 maps to the same executable formula as 영업이익률 in the current source mapping.,True,False,11
수익성,R006,세전이익률,확장,0.1068,0.0381,"-2.6883, 0.8097",False,,,,False,True,12
수익성,R007,순이익률,확장,0.1068,0.0319,"-2.9392, 0.815",False,,,,False,True,13
수익성,R009,총포괄이익률,확장,0.1068,0.0313,"-2.8037, 0.9338",False,,,,False,True,14
수익성,R012,매출총이익/총자산,확장,0.1235,0.126,"-0.0649, 0.9061",False,,,,False,True,15
수익성,R013,영업이익/총자산,확장,0.1235,0.0318,"-0.2287, 0.2304",False,,,,False,True,16
수익성,R014,EBIT/총자산,확장,0.1235,0.0318,"-0.2287, 0.2304",False,R013,exact_value_alias,EBIT/총자산 maps to the same executable formula as 영업이익/총자산.,True,False,17
수익성,R015,EBITDA/총자산,확장,0.1235,0.0368,"-0.2176, 0.2453",False,,,,False,True,18
수익성,R016,세전이익/총자산,확장,0.1235,0.0312,"-0.4806, 0.2751",False,,,,False,True,19
수익성,R018,총포괄이익/총자산,확장,0.1235,0.0267,"-0.4978, 0.2566",False,,,,False,True,20
수익성,R019,영업현금흐름/총자산,확장,0.1235,0.043,"-0.2238, 0.2899",False,,,,False,True,21
수익성,R021,영업이익/자기자본,확장,0.1235,0.0556,"-0.681, 0.5272",False,,,,False,True,22
수익성,R022,당기순이익/자기자본(ROE),확장,0.1235,0.0449,"-1.5037, 0.5149",False,,,,False,True,23
수익성,R023,총포괄이익/자기자본,확장,0.1235,0.045,"-1.4992, 0.5817",False,,,,False,True,24
안정성,R043,부채비율,핵심,0.1064,0.6256,"0.015, 7.9919",False,,,,False,True,1
안정성,R045,자기자본비율,핵심,0.1064,0.6109,"0.0507, 0.9681",False,,,,False,True,2
안정성,R046,차입금의존도,핵심,0.1064,0.1348,"0.0, 0.6139",False,,,,False,True,3
안정성,R063,유보율,핵심,0.1064,4.5549,"-9.9073, 96.6883",False,,,,False,True,4
안정성,R076,순운전자본/총자산,핵심,0.1064,0.1715,"-0.4446, 0.7567",False,,,,False,True,5
안정성,R044,총부채/총자산,확장,0.1064,0.3891,"0.0319, 0.9493",False,,,,False,True,6
안정성,R047,순차입금의존도,확장,0.1064,0.05,"-0.4446, 0.5761",False,,,,False,True,7
안정성,R048,유이자부채/총자산,확장,0.1064,0.1099,"0.0, 0.5268",False,,,,False,True,8
안정성,R049,금융부채/총부채,확장,0.1064,0.3055,"0.0, 0.8659",False,,,,False,True,9
안정성,R050,총차입금/자기자본,확장,0.1064,0.2128,"0.0, 3.9426",False,,,,False,True,10
안정성,R051,순차입금/자기자본,확장,0.1064,0.0745,"-0.8218, 3.5322",False,,,,False,True,11
안정성,R052,유이자부채/자기자본,확장,0.1064,0.1737,"0.0, 3.2334",False,,,,False,True,12
안정성,R053,유동부채비율,확장,0.1064,0.4383,"0.005, 5.5162",False,,,,False,True,13
안정성,R054,비유동부채비율,확장,0.1064,0.1059,"0.0, 2.7564",False,,,,False,True,14
안정성,R055,유동부채/총부채,확장,0.1064,0.8075,"0.2089, 0.999",False,,,,False,True,15
안정성,R056,비유동부채/총부채,확장,0.1064,0.1922,"0.001, 0.7844",False,,,,False,True,16
안정성,R059,단기금융부채/총자산,확장,0.1064,0.0777,"0.0, 0.4694",False,,,,False,True,17
안정성,R060,장기금융부채/총자산,확장,0.1064,0.0129,"0.0, 0.3901",False,,,,False,True,18
안정성,R064,이익잉여금/총자산,확장,0.1064,0.2772,"-1.8083, 0.9708",False,,,,False,True,19
안정성,R065,이익잉여금/자기자본,확장,0.1064,0.5098,"-5.105, 1.6454",False,,,,False,True,20
안정성,R067,자본금/총자산,확장,0.1064,0.0615,"0.0057, 0.6755",False,,,,False,True,21
안정성,R071,비유동비율,확장,0.1064,0.8616,"0.0814, 5.2664",False,,,,False,True,22
안정성,R077,운전자본/매출액,확장,0.1068,0.2089,"-1.761, 4.1151",False,,,,False,True,23
유동성,R115,유동비율,핵심,0.1064,1.6165,"0.2344, 19.4736",False,,,,False,True,1
유동성,R116,당좌비율,핵심,0.1064,1.2721,"0.1811, 18.4609",False,,,,False,True,2
유동성,R117,현금비율,핵심,0.1064,0.2631,"0.0013, 7.1702",False,,,,False,True,3
유동성,R118,순운전자본비율,핵심,0.1064,0.1715,"-0.4446, 0.7567",False,R076,exact_value_alias,순운전자본비율 is identical to 순운전자본/총자산.,True,False,4
유동성,R131,OCF/유동부채,핵심,0.1064,0.1504,"-1.2435, 3.0188",False,R094,exact_value_alias,OCF/유동부채 duplicates the debt-service OCF/유동부채 ratio.,True,False,5
유동성,R140,순영업운전자본/매출액,확장,0.0489,0.1412,"-0.4119, 1.009",False,,,,False,True,6
유동성,R120,유동자산/총자산,확장,0.1064,0.4677,"0.0642, 0.9034",False,,,,False,True,7
유동성,R121,유동부채/총자산,확장,0.1064,0.2728,"0.0185, 0.7891",False,,,,False,True,8
유동성,R124,현금성자산/총자산,확장,0.1064,0.067,"0.0005, 0.484",False,,,,False,True,9
유동성,R126,현금성자산/총부채,확장,0.1064,0.1919,"0.0009, 4.7812",False,,,,False,True,10
유동성,R127,현금성자산/유동부채,확장,0.1064,0.2631,"0.0013, 7.1702",False,R117,exact_value_alias,현금성자산/유동부채 is identical to 현금비율.,True,False,11
유동성,R133,FCF/유동부채,확장,0.1064,0.0436,"-2.2305, 2.299",False,,,,False,True,12
유동성,R134,재고자산/유동자산,확장,0.1064,0.1657,"0.0, 0.6466",False,,,,False,True,13
유동성,R135,매출채권/유동자산,확장,0.1064,0.3186,"0.0179, 0.8779",False,,,,False,True,14
유동성,R136,매입채무/유동부채,확장,0.1064,0.4316,"0.0339, 0.9813",False,,,,False,True,15
유동성,R141,영업운전자본/총자산,확장,0.1064,0.1089,"-0.1946, 0.4895",False,,,,False,True,16
유동성,R119,순운전자본/매출액,확장,0.1068,0.2089,"-1.761, 4.1151",False,R077,exact_value_alias,순운전자본/매출액 is identical to 운전자본/매출액.,True,False,17
유동성,R122,유동부채/매출액,확장,0.1068,0.34,"0.0735, 3.9449",False,,,,False,True,18
유동성,R123,유동자산/매출액,확장,0.1068,0.5933,"0.1292, 5.7502",False,,,,False,True,19
유동성,R125,현금성자산/매출액,확장,0.1068,0.0928,"0.0005, 2.3423",False,,,,False,True,20
유동성,R137,재고자산/매출액,확장,0.1068,0.0965,"0.0, 0.7689",False,,,,False,True,21
유동성,R138,매출채권/매출액,확장,0.1068,0.1831,"0.0171, 1.1787",False,,,,False,True,22
유동성,R139,매입채무/매출액,확장,0.1068,0.1356,"0.024, 1.2049",False,,,,False,True,23
자본효율성,R226,이익잉여금/총자산,확장,0.1064,0.2772,"-1.8083, 0.9708",False,,,,False,True,1
자본효율성,R227,이익잉여금/자본,확장,0.1064,0.5098,"-5.105, 1.6454",False,,,,False,True,2
자본효율성,R228,OCF/총자산(평균),확장,0.1064,0.0421,"-0.2402, 0.2643",False,,,,False,True,3
활동성,R143,총자산회전율,핵심,0.1235,0.7626,"0.0372, 3.0365",False,,,,False,True,1
활동성,R148,타인자본회전율,핵심,0.1235,2.1217,"0.1636, 10.4092",False,,,,False,True,2
활동성,R153,매출채권회전율,핵심,0.1235,5.4567,"0.7666, 47.7191",False,,,,False,True,3
활동성,R237,매출채권회전율,확장,0.1066,5.4596,"0.831, 58.5885",False,,,,False,True,4
활동성,R236,매입채무회전율,확장,0.1068,5.5459,"0.0, 28.0602",False,,,,False,True,5
활동성,R145,비유동자산회전율,확장,0.1235,1.5268,"0.0445, 12.7636",False,,,,False,True,6
활동성,R146,유동자산회전율,확장,0.1235,1.6906,"0.1673, 7.3356",False,,,,False,True,7
활동성,R147,자기자본회전율,확장,0.1235,1.2769,"0.0268, 10.4208",False,,,,False,True,8
활동성,R150,운전자본회전율,확장,0.1235,2.2595,"-123.2553, 125.473",False,,,,False,True,9
활동성,R154,매입채무회전율,확장,0.1235,5.5387,"0.0, 25.9205",False,,,,False,True,10
활동성,R156,현금성자산회전율,확장,0.1235,10.1506,"0.3745, 848.2944",False,,,,False,True,11
활동성,R157,자본금회전율,확장,0.1235,12.0761,"0.309, 167.9127",False,,,,False,True,12
활동성,R158,매출채권회전일수,확장,0.1237,0.1833,"0.021, 1.2762",False,,,,False,True,13
활동성,R164,매출채권회수기간,확장,0.1237,0.1833,"0.021, 1.2762",False,R158,exact_value_alias,매출채권회수기간 is identical to 매출채권회전일수.,True,False,14
활동성,R159,재고자산회전일수,확장,0.1659,0.1281,"0.0, 0.9957",False,,,,False,True,15
활동성,R160,매입채무회전일수,확장,0.1659,0.1747,"0.0382, 1.6938",False,,,,False,True,16
활동성,R163,재고보유기간,확장,0.1659,0.1281,"0.0, 0.9957",False,R159,exact_value_alias,재고보유기간 is identical to 재고자산회전일수.,True,False,17
활동성,R165,매입채무지급기간,확장,0.1659,0.1747,"0.0382, 1.6938",False,R160,exact_value_alias,매입채무지급기간 is identical to 매입채무회전일수.,True,False,18
